page,type,notation,context
10,western_notes,"E, F, G","C and D sections of “Lai Teay Khong.”                                         98   Figure 4.12: The E, F, G and H sections of “Lai Teay Khong.”                               99  Figure 4.13: Arrangeme"
57,interval,A4,"iam by Monsieur De La Loubere.  <http://name.umdl.umich.edu/A48403.0001.001.>  107 Ibid., 42.  108 Sujit Wongthes, “Thai"
63,scale_degrees,"1, 2, 3, 5","in typical Thai tunings. The other scale degrees produced  by Thai instruments, however, including 1, 2, 3, 5, and 6, can produce a sound relatively similar  to the structure of major (or minor) pent"
63,scale_degrees,"2, 3, 4","rs to the fingering used for an instrument—for example, 1 refers to a lower- pitched fingering, and 2, 3, 4 can direct the other successive fingers on that string129, as well as  the Thai alphabetical"
68,scale_degrees,1 2 3 5 2,"de (in  scale degrees, with arrows adding clarity of melodic contour, see also Figure 3.5):     1.  1 2 3 5 2 (twice),   2.  5 3 2 1 2 3 (three times),   3.  2 3 2 1 6¯ 5¯ (three times),   4.  5 6 1­"
68,scale_degrees,5 3 2 1 2 3,"th arrows adding clarity of melodic contour, see also Figure 3.5):     1.  1 2 3 5 2 (twice),   2.  5 3 2 1 2 3 (three times),   3.  2 3 2 1 6¯ 5¯ (three times),   4.  5 6 1­ 2 ­ 1­ 6¯ (twice),   5."
68,scale_degrees,2 3 2 1 6,"ic contour, see also Figure 3.5):     1.  1 2 3 5 2 (twice),   2.  5 3 2 1 2 3 (three times),   3.  2 3 2 1 6¯ 5¯ (three times),   4.  5 6 1­ 2 ­ 1­ 6¯ (twice),   5.  2 3 2 3 5 1 2 (twice),   6.  1 6"
68,scale_degrees,5 6 1,"1.  1 2 3 5 2 (twice),   2.  5 3 2 1 2 3 (three times),   3.  2 3 2 1 6¯ 5¯ (three times),   4.  5 6 1­ 2 ­ 1­ 6¯ (twice),   5.  2 3 2 3 5 1 2 (twice),   6.  1 6 5 3 (twice),   7.  1 ♭3 ♭7¯ 1 (twic"
68,scale_degrees,2 3 2 3 5 1 2,"5 3 2 1 2 3 (three times),   3.  2 3 2 1 6¯ 5¯ (three times),   4.  5 6 1­ 2 ­ 1­ 6¯ (twice),   5.  2 3 2 3 5 1 2 (twice),   6.  1 6 5 3 (twice),   7.  1 ♭3 ♭7¯ 1 (twice),   8.  1 ♭7¯ 5¯ ♭7¯ 1 ♭3­ (tw"
68,scale_degrees,1 6 5 3,"3.  2 3 2 1 6¯ 5¯ (three times),   4.  5 6 1­ 2 ­ 1­ 6¯ (twice),   5.  2 3 2 3 5 1 2 (twice),   6.  1 6 5 3 (twice),   7.  1 ♭3 ♭7¯ 1 (twice),   8.  1 ♭7¯ 5¯ ♭7¯ 1 ♭3­ (twice), and   9.  3 2 3 2 1 2 ("
68,scale_degrees,3 2 3 2 1 2,"wice),   6.  1 6 5 3 (twice),   7.  1 ♭3 ♭7¯ 1 (twice),   8.  1 ♭7¯ 5¯ ♭7¯ 1 ♭3­ (twice), and   9.  3 2 3 2 1 2 (twice).              Figure 3.5: A collection of specific melodic patterns derived from"
69,scale_degrees,"1 2 3 5, 2","dley,” I employed the use of several of the melodic patterns, which  I had identified, including 1) 1 2 3 5, 2) 5 6 1 2 1 6, 3) 3 2 3 2 1 2, 4) 5 6 1 2 1 6, 5) 5 3 2 1 2 3,  and 6) 1 6 5 3. I drew on"
69,scale_degrees,"5 6 1 2 1 6, 3","loyed the use of several of the melodic patterns, which  I had identified, including 1) 1 2 3 5, 2) 5 6 1 2 1 6, 3) 3 2 3 2 1 2, 4) 5 6 1 2 1 6, 5) 5 3 2 1 2 3,  and 6) 1 6 5 3. I drew on these patter"
69,scale_degrees,"3 2 3 2 1 2, 4","several of the melodic patterns, which  I had identified, including 1) 1 2 3 5, 2) 5 6 1 2 1 6, 3) 3 2 3 2 1 2, 4) 5 6 1 2 1 6, 5) 5 3 2 1 2 3,  and 6) 1 6 5 3. I drew on these patterns and on syncop"
69,scale_degrees,"5 6 1 2 1 6, 5","melodic patterns, which  I had identified, including 1) 1 2 3 5, 2) 5 6 1 2 1 6, 3) 3 2 3 2 1 2, 4) 5 6 1 2 1 6, 5) 5 3 2 1 2 3,  and 6) 1 6 5 3. I drew on these patterns and on syncopated rhythms, a"
69,scale_degrees,5 3 2 1 2 3,", which  I had identified, including 1) 1 2 3 5, 2) 5 6 1 2 1 6, 3) 3 2 3 2 1 2, 4) 5 6 1 2 1 6, 5) 5 3 2 1 2 3,  and 6) 1 6 5 3. I drew on these patterns and on syncopated rhythms, a key feature of j"
69,scale_degrees,1 6 5 3,"fied, including 1) 1 2 3 5, 2) 5 6 1 2 1 6, 3) 3 2 3 2 1 2, 4) 5 6 1 2 1 6, 5) 5 3 2 1 2 3,  and 6) 1 6 5 3. I drew on these patterns and on syncopated rhythms, a key feature of jazz,  before composin"
69,scale_degrees,"1 2 3 5, 1 2 3 5 3, 1 3 2 1 6","ormance, and improvisation (Figure 3.6).     Other melodic patterns in a pentatonic scale—including 1 2 3 5, 1 2 3 5 3, 1 3 2 1 6¯, and in  particular, 1 2 3 5 6—can also be widely observed in the set"
69,scale_degrees,1 2 3 5 6,"elodic patterns in a pentatonic scale—including 1 2 3 5, 1 2 3 5 3, 1 3 2 1 6¯, and in  particular, 1 2 3 5 6—can also be widely observed in the set of melodic patterns called thang  (roughly equivale"
75,scale_degrees,1 2 3 4,"hat the accented beat found in Thai  classical music is typically located on the fourth beat (i.e., 1 2 3 4, or 1 & 2 & in eighth notes),  rather than on the first beat as is common in Western music."
96,lai_mode,"e, a","lai se, a"
98,western_notes,"G, A, C, D, E","haen hok, the smallest organ (six pipes in  total, e.g., the khaen hok in G is capable of producing G, A, C, D, E, and G­ , 2) khaen jed  (fourteen pipes in total—e.g., a khaen jed in Am—consisting of"
98,western_notes,"A, B, C, D, E, F, G, A",", A, C, D, E, and G­ , 2) khaen jed  (fourteen pipes in total—e.g., a khaen jed in Am—consisting of A, B, C, D, E, F, G, A­,  B ­,  C­, D,­ E,­, and F ­, i.e., less than two octaves), and 3) khaen kao"
98,western_notes,"A, B, C, D, E, G, A","en kao, the biggest organ (with  eighteen pipes in total, a khaen kao in Am is capable of producing A, B, C, D, E, G, A­,  B ­,                                                           187 For more d"
99,interval,P4,". A set of such sustained pitches, consisting of the root,  P4, P5, and octave notes which are explicitly heard in isan"
99,interval,P5,"set of such sustained pitches, consisting of the root,  P4, P5, and octave notes which are explicitly heard in isan nuea"
100,chord_progression,D-A-G1,"ed the notion of the lai noi tuning system, which was founded in  Nong Kai Province and is tuned to D-A-G193—in contrast to Terry Miller’s study on lai noi,  from a different region where the instrume"
100,chord_progression,A-D-A,"trast to Terry Miller’s study on lai noi,  from a different region where the instrument is tuned to A-D-A.194     Based on my work with phin performers in 2016–2017 with the Faculty of Music, Silpakor"
100,chord_progression,E-A-E,gional tuning methods. These  systems are divided into three categories for a three-string phin: 1) E-A-E (the most widely- used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-st
100,chord_progression,E-A-A,ems are divided into three categories for a three-string phin: 1) E-A-E (the most widely- used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A;  2) E-B; 3) E-D
100,chord_progression,E-B-E,d into three categories for a three-string phin: 1) E-A-E (the most widely- used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A;  2) E-B; 3) E-D; and 4) E-E.
100,chord_progression,E-A-E-A,"string phin: 1) E-A;  2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the f"
100,chord_progression,"E-A-E-
B","1) E-A;  2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the first string—"
100,chord_progression,A-E-A-E,"E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the first string—the  lowest p"
100,chord_progression,E-E-A-A,"4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the first string—the  lowest pitch—while the s"
102,interval,P4,"and two pitches, which  primarily build up from minor 3rd, P4, P5, minor 7th, and an octave; alternatively, the players"
102,interval,P5,"two pitches, which  primarily build up from minor 3rd, P4, P5, minor 7th, and an octave; alternatively, the players  pl"
102,interval,M2,"s  play a set of three pitches, which usually build up from M2 and P4, and are equivalent to a  suspended chord in jazz"
102,interval,P4,"a set of three pitches, which usually build up from M2 and P4, and are equivalent to a  suspended chord in jazz harmony"
104,chord_progression,G-A-C-D,"answer for constructing  thematic melody parts (mm.3-8), melodic sequence (primarily built up from G-A-C-D in  mm.14-22 and A-G-E-D in mm.23-27), and repetition (D-E-G) in mm.28-36 (indicated by the"
104,chord_progression,A-G-E-D,"thematic melody parts (mm.3-8), melodic sequence (primarily built up from G-A-C-D in  mm.14-22 and A-G-E-D in mm.23-27), and repetition (D-E-G) in mm.28-36 (indicated by the  red arrows in Figure 4.5"
104,chord_progression,D-E-G,"ic sequence (primarily built up from G-A-C-D in  mm.14-22 and A-G-E-D in mm.23-27), and repetition (D-E-G) in mm.28-36 (indicated by the  red arrows in Figure 4.5).204"
107,western_notes,"A, C, D, E, G","lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor pent.)        2. lai noi, or lai long noi, consisting of D, F, G, A, C (D min"
107,western_notes,"D, F, G, A, C","yai, consisting of A, C, D, E, G (A minor pent.)        2. lai noi, or lai long noi, consisting of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E, G, A, B, D (E minor pent.)      lai tha"
107,western_notes,"E, G, A, B, D",". lai noi, or lai long noi, consisting of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E, G, A, B, D (E minor pent.)      lai thang san  4. lai sutsanaen, consisting of C, D, E, G, A (C m"
107,western_notes,"C, D, E, G, A","se, consisting of E, G, A, B, D (E minor pent.)      lai thang san  4. lai sutsanaen, consisting of C, D, E, G, A (C major pent.)     5. lai pong sai, consisting of F, G, A, C, D (F major pent.)"
107,western_notes,"F, G, A, C, D","n  4. lai sutsanaen, consisting of C, D, E, G, A (C major pent.)     5. lai pong sai, consisting of F, G, A, C, D (F major pent.)           6. lai soi, consisting of G, A, B, D, E (G major pent.)"
107,western_notes,"G, A, B, D, E","5. lai pong sai, consisting of F, G, A, C, D (F major pent.)           6. lai soi, consisting of G, A, B, D, E (G major pent.)       Figure 4.6: Lai thang yao and lai thang san.    As isan nuea is"
107,lai_mode,"A, C, D, E, G","lai yai, consisting of A, C, D, E, G"
107,lai_mode,"D, F, G, A, C","lai noi, or lai long noi, consisting of D, F, G, A, C"
107,lai_mode,"E, G, A, B, D","lai se, consisting of E, G, A, B, D"
107,lai_mode,"C, D, E, G, A","lai sutsanaen, consisting of C, D, E, G, A"
107,lai_mode,"F, G, A, C, D","lai pong sai, consisting of F, G, A, C, D"
107,lai_mode,"G, A, B, D, E","lai soi, consisting of G, A, B, D, E"
108,interval,m2,"avoid using unpleasant pitches, which they refer as sieng som206 (sour sound) while  performing as solo instruments, or"
110,chord_progression,A-G-E,"94  To intertwine musical ideas together, Buahong also uses several sixteenth-note motifs, such as  A-G-E, which can be observed in mm.9-11 and m. 23. In addition, he plays staccato quarter  notes on"
112,interval,d4,Media (2005).   <https://open.spotify.com/track/6BCPBVMJyMZd4Qn5WyNVvG?si=0f5282436ee343a8>.  216 Please note that some
115,western_notes,"E, F, G","ranscription of “Lai Teay Klong” performed by  Sombat Simlah.)217                  Figure 4.12: The E, F, G and H sections of “Lai Teay Khong.” Transcription by the  author."
123,western_notes,"C, F, G","of modes to accompany the vocal is divided into three types—namely, the  use of lai thang san, the C, F, G major pentatonic scales for a short performance (lum thang san)  which contains faster tempo"
123,western_notes,"A, D, E","ic scales for a short performance (lum thang san)  which contains faster tempos, and lai thang yai (A, D, E) for a longer performance with a slow  tempo, in which the vocalist sings longer poems. Mean"
123,lai_mode,"C, F, G","lai thang san, the C, F, G"
123,lai_mode,"A, D, E","lai thang yai (A, D, E"
127,western_notes,"B, C, D, E, F, 
G, A, B","uces seven diatonic  pitches per octaves over a range of approximately 2 octaves. These pitches are B, C, D, E, F,  G, A, B ­, C­, D,­ E,­, F ­, G­, A­,  B­­ C­­, D­­ in the standard model (42 cm).  S"
128,western_notes,"G, D, A, B","wards, from mm.19- 28, the melodic repetitive patterns undulate, primarily including the pitches of G, D, A, B— with the B note observable as the highest note in these patterns which eventually transf"
132,western_notes,"D, G, D, G","gher pitch, and a G  for the lower pitch. The mong player (nai mong) provides alternating sounds of D, G, D, G to  indicate continuous time for nora ensembles. Alternatively, the instrument can be per"
132,western_notes,"D, D, D, 
G","e performed  only as D or G, or it can be rearranged to a different pattern of the two notes (e.g., D, D, D,  G) based on the type of composition accompanying the nora dancers while performing. In  ad"
132,interval,M2,"Anthropology Centre <https://www.youtube.com/watch?v=KoUjwkLM2zM&t=912s> (14  October 2021).   237 Thammanit Nikhonrat,"
135,interval,d2,"Promil on the pi nora performing techniques of Umnad Nuniad238, a pi nora master and respected  teacher from Phatthalu"
139,chord_progression,G-A-C-D-E,"thod of jazz analysis of Chapter 3, the fundamental patterns of this composition are also  based on G-A-C-D-E (5-6-1-2-3) and E-G-A-C (3-5-6-1), both of which can be found in  several locations throug"
139,chord_progression,E-G-A-C,"hapter 3, the fundamental patterns of this composition are also  based on G-A-C-D-E (5-6-1-2-3) and E-G-A-C (3-5-6-1), both of which can be found in  several locations throughout the performance. Furt"
142,interval,d2,rong ngeng performances during the Portuguese colonial period251  and somewhat neglect the crucial discussion of rong ng
159,chord_progression,D-E-F-G-A-B-C,"ries based on the size of  instruments, namely: 1) the pi koy system (in C), which starts from C(4)-D-E-F-G-A-B-C­                                                           280 Pornprasit, The perform"
160,chord_progression,A-B-C-D-E-F-G,"ontri paknuea      144  (within one octave); 2) the pi klang system (in C),  which starts from G(3)-A-B-C-D-E-F-G­;  3) the pi lek system (in C), which is produced from G(4)-A-B-C-D-E-F-G­; 4) the pi"
